SKU,Published,Sale price,Regular price
SKU_2EIHGEC_3DTIR46,1,9900,18000
SKU_34298FY_7BBKMU3,1,,10900
SKU_38TGLC0_81RL6NS,1,15000,18000
SKU_36HMEKW_7OKLVPX,1,13790,28000
SKU_3AMF95J_8AWV095,1,25800,66000
SKU_3B5BVJB_8DA3WL2,1,19800,35000
SKU_39KZFXP_85W1HVV,1,38000,42000
SKU_34E2GJX_7D07F79,1,,10900
SKU_2US9GXN_5P7BJ87,1,21760,39000
SKU_2NVDFNZ_4K8965C,1,,36000
SKU_35P9441_7K7N5XC,1,48400,66700
SKU_34UY5SJ_7FN3ECY,1,11200,21600
SKU_SMXFO7_1CQVX14,1,29300,32200
SKU_3AW3HR5_8C3RGMP,1,35460,36000
SKU_2BVWPXR_35JZICI,1,9820,17000
SKU_39OPL40_86FYR4A,1,,13900
SKU_2LBRYP1_48BN56M,1,12520,12660
SKU_2RZIVNG_5311TSD,1,16940,18620
SKU_33J6Y85_78ID1PW,1,17600,25900
SKU_2OFT5F5_4MWBBPQ,1,11000,17750
SKU_2ZQJVGS_6M7OHQD,1,9900,18000
SKU_3AU2KQW_8BURC89,1,10000,20000
SKU_2SULG02_58OFQQF,1,18770,32000
SKU_14L2PD_3RHIQQ,1,5800,7600
SKU_38TDEG0_81R21DC,1,13200,24000
SKU_2QQVE8P_4XDA8FY,1,11540,11900
SKU_3B5CXWA_8DA8FQ6,1,11920,24000
SKU_2IZX92Z_3XFJBCJ,1,13170,14080
SKU_4HOMXY_E4F79J,1,8680,13000
SKU_2NYKEHW_4KN3T5U,1,,13200
SKU_2T18JCX_5A8AMMH,1,,99500
